 , item_id  , group  , uid   , forecast_trend rule, forecast_frequency rule, forecast_pattern rule, forecast_ARMA rule, target_trend rule, target_frequency rule, target_pattern rule, target_ARMA rule, forecast_hallu, targets_hallu
0, m4_M1    , Monthly, M1    , True               , True                   , True                 , True              , False            , True                 , True               , True            , False         , True
1, m4_M10   , Monthly, M10   , True               , True                   , False                , True              , True             , True                 , True               , True            , False         , False
2, m4_M100  , Monthly, M100  , True               , True                   , False                , True              , True             , True                 , True               , True            , False         , False
3, m4_M1000 , Monthly, M1000 , True               , True                   , False                , True              , False            , True                 , False              , True            , False         , True
4, m4_M10000, Monthly, M10000, False              , False                  , False                , True              , False            , True                 , False              , True            , True          , True
5, m4_M10001, Monthly, M10001, False              , False                  , False                , True              , True             , True                 , False              , True            , True          , False
6, m4_M10002, Monthly, M10002, False              , True                   , False                , True              , False            , True                 , True               , True            , True          , True
7, m4_M10003, Monthly, M10003, False              , True                   , False                , True              , False            , True                 , False              , True            , True          , True
8, m4_M10004, Monthly, M10004, False              , False                  , False                , True              , True             , True                 , False              , True            , True          , False
9, m4_M10005, Monthly, M10005, False              , True                   , False                , True              , True             , True                 , False              , True            , True          , False
